agnurspsbupano_f, agbroadcrpallaha_f, agothcrop_ahacan_f, mangoes_yield_f, sorghum_yield_f, agfloerupano_f, agfrutmcdmakg_f, mushrooms_yield_f, agewesmateanooth_f, agvegecapsakgund_f, agfrutothorctnb_f, sugarcutcrushing_yield_f, canola_yield_f, agdaircales1_f, agfloers_aha_f, tomatoesmku_yield_f, agbeefcatlano_f, agfrutolivtnb_f, mandarins_yield_f, tomatoesmko_yield_f, aglambslt1ano_f, agfrutothnutttb_f, agfrutothstre_f, agcereal_ahamai_f, agdaircowsano_f, peasfreshmkt_yield_f, agvegeonioaha_f, agfrutapptba_f, apples_yield_f, cotirrigatedlint_yield_f, agfrutmacatba_f, agbewesothge1ano_f, potatotot_yield_f, agfrutothcittr_f, agcereal_atooat_f, capsicumtot_yield_f, agvegepotaatopro_f, agfrutothcittba_f, agvegepotaaha_f, agturfrollupano_f, agfrutchertnb_f, agvegecapsam2und_f, agvegebrocakg_f, agfrutmacnum_f, agnursery_ahaout_f, agnurseryundaha_f, agsheeplmbano_f, agfrutnecttnb_f, aglandtotlaha_f, agothcrop_akgpnt_f, pasture_hay_yield_f, agvegeletahaout_f, agvegecapsakg_f, othpulses_yield_f, agfrutavotba_f, agvegecaulato_f, agcottlintakgnon_f, agdairy_ano_f, agfrutnutotaha_f, ageggprodado_f, agothlstokanohld_f, agvegbeanaha_f, grapeswine_yield_f, agfrutothpomtba_f, agvegecornato_f, caulifloers_yield_f, agvegecabbato_f, agfrutaprtnb_f, agbeefcalle1_f, agpasceothsilato_f, agfrutpeactnb_f, agpigs_ano_f, agpigbsow_ano_f, agfrutothcittnb_f, agothcrop_ahaoil_f, agfrutnecttba_f, lettuceund_yield_f, agcereal_atooth_f, onions_yield_f, agpasthay_aha_f, agothcrop_atoopu_f, agfrutpeactba_f, agsugnfcrushaha_f, agvegecarrato_f, pineapples_yield_f, agvege_aha_f, aggrape_ahanyb_f, agbewes1ano_f, agcatldispano_f, agfrutalmnum_f, agfrutavotree_f, agfrutcherakg_f, agvegeletakgout_f, agfrutstrwahabea_f, oth_hay_yield_f, bananas_yield_f, agvegelettakg_f, cabbages_yield_f, agfloersundaha_f, agvegecaulaha_f, agfrutothorctba_f, agbeefallot_f, capsicumund_yield_f, agcottlintakgirr_f, agothcrop_atocan_f, cherries_yield_f, agvegepeasakgpro_f, agnurshvupano_f, aggrapewinahanyb_f, agcereal_atomai_f, agfrutmangtnb_f, lettucetot_yield_f, aglucrnhay_ato_f, aggrape_aha_f, agdairallot_f, agvegetomaahamko_f, agfrutmangakg_f, agfrutmantree_f, agvegemushakg_f, agfrutothnum_f, agvegepeasakgmkt_f, agvegecapsaha_f, rice_yield_f, agfrutotsttba_f, aggrapeothaha_f, dairy_totcattle_rt_f, agfrutmandakg_f, cereals_hay_yield_f, sweetcorn_yield_f, nectarines_yield_f, sa4_name16, agdairheifanogt2_f, agfrutorngtnb_f, agothsheepano_f, agfrutpineato_f, agfrutaprtre_f, cottontot_yield_f, potatoespro_yield_f, agpigbopigano_f, agfrutapplakg_f, brussels_yield_f, agvegemusham2_f, agothcrhayato_f, agfrutapptree_f, agvegepotaahamkt_f, broccoli_yield_f, peaches_yield_f, aggrapewinahabea_f, agvegemelnaha_f, agfrutalmoakg_f, agfrutnaspearakg_f, agvegecabbaha_f, agcereal_ahawht_f, carrots_yield_f, triticale_yield_f, agcottlintakg_f, aggrapeothahanyb_f, agothcrop_ahaopu_f, apricots_yield_f, agfrutalmotba_f, agcottpltdahairr_f, aggrapewinaha_f, lucerne_yield_f, capsicumout_yield_f, agvegebrusakg_f, agothpltryano_f, agfrutnectree_f, agpasthay_ato_f, agchickensanolay_f, agbeefcowsano_f, agfrutorngakg_f, ageweslmbmark_f, agfrutotsttnb_f, agfrutmandtre_f, oats_yield_f, agdairheifanole2_f, agewesmateanomer_f, agvegetomaato_f, agvegecapsahaout_f, agcroptotaha_f, agfrutothpomtr_f, agsugarcrsaha_f, meat_totcattle_rt_f, peanuts_yield_f, agfrutolivtba_f, agcereal_atosor_f, aglucrnhay_aha_f, tomatotot_yield_f, agothcrhayaha_f, agvegeletam2und_f, agfrutnaspeartnb_f, agpascrhayaha_f, agfrutothrahanyb_f, strawberries_yield_f, agothcrop_aha_f, agchickensanomea_f, agcereal_atotri_f, agvegepeasahamkt_f, agnursbpcupano_f, agfrutbanaato_f, agfrutoorcano_f, agfrutpeatree_f, agvegebrocaha_f, agsugarcrsato_f, agvegepumpaha_f, agorchardsaha_f, agfrutbanaaha_f, agfrutmandtnb_f, agfrutorcba_f, almonds_yield_f, agvegetomaam2mku_f, aggrape_ato_f, agothcrop_ahapnt_f, cotnonirriglint_yield_f, aggrapeothahabea_f, agcereal_atobar_f, agcereal_atowht_f, agcottpltdahanon_f, agfrutothpomtnb_f, agnursfnvupano_f, agvegepeasakg_f, grapestot_yield_f, agfrutpineaha_f, oranges_yield_f, agfrutpineahabea_f, agvegbeankg_f, agfrutavocakg_f, agvegetomaahamkt_f, agfrutstrwakg_f, agfrutapriakg_f, agpasceothsilaha_f, agfloers_ahaout_f, agvegepotaato_f, agothchickenano_f, agfrutalmotnb_f, agfrutothrahabea_f, aglambmarked_f, agvegepeasaha_f, agvegemelnato_f, agvegetomaahapro_f, agfrutorcnyb_f, agsugarcanaha_f, macadamias_yield_f, agfrutnasptree_f, agnursinplupano_f, agpascrhayato_f, agcereal_ahatri_f, agvegeletakgund_f, agfrutorngtba_f, agfrutorngtree_f, agbewesmerge1ano_f, aggrape_ahabea_f, agcottpltdaha_f, agcereal_aharic_f, agcerehay_ato_f, agcerehay_aha_f, agfrutchertree_f, agfrutavotnb_f, agfrutpechakg_f, agvegeonioato_f, silage_yield_f, agnurspropupano_f, agcereal_ahasor_f, peastot_yield_f, agfrutmacatnb_f, agcereal_ahabar_f, pears_yield_f, agfrutpineahanyb_f, agvegepeasahapro_f, agfrutnectakg_f, agfrutolitree_f, agvegepumpato_f, agvegepotaatomkt_f, agcereal_atoric_f, agfrutothnuttnb_f, agvegetomaaha_f, agnursery_aha_f, othroilseeds_yield_f, tomatoespro_yield_f, aggrapewinato_f, wheat_yield_f, olives_yield_f, peasprcs_yield_f, lettuceout_yield_f, agvegeoth_aha_f, agfrutolivakg_f, agvegebrusaha_f, grapesoth_yield_f, agfrutmangtba_f, agfrutapptnb_f, potatoesfresh_yield_f, aglambmarkmerano_f, agfrutothha_f, othcerealgrnseed_yield_f, agfrutorctot_f, agvegepotaahapro_f, agvegetomaatopro_f, aggrapeothato_f, melons_yield_f, agfrutmandtba_f, agvegetomaakgmku_f, agvegetomaatomkt_f, agvegetomaatomko_f, agvegecapsakgout_f, aglambmarkothano_f, avocados_yield_f, agfrutchertba_f, agcereal_ahaoat_f, maize_yield_f, agfrutbanaahabea_f, agvegecornaha_f, agfrutbanaahanyb_f, agfrutaprtba_f, beans_yield_f, sa4_code16, agothcrop_atooil_f, pumpkins_yield_f, agvegelettaha_f, agturf_aha_f, agfrutnaspeartba_f, agvegecarraha_f, barley_yield_f, agnursptsupano_f, agnurflwtuaha_f, agcereal_ahaoth_f
null,12002,null,null,4,12556,null,null,150,null,285,null,null,1148,37,null,15054,null,null,33,149,2200,null,14,4071,null,null,null,null,1796,null,170,33,null,79,null,null,null,564,2459,null,null,7060474,null,3,13,378,null,51368,null,3,897,null,null,12230,9671,null,7280,133,21832,504,1001,null,null,24067,25,null,null,4845,42482,910,10442,3834,null,null,7079,null,null,64,226,11971,10870,null,4287,null,6969,null,170,22334,null,12530,null,25177564,null,17,null,25177564,45,5,384,5788,1947,null,508962,null,null,null,10000,null,71,null,28062,3401,null,60,51,22336,2469,null,2200,null,null,null,null,null,33,null,4,11,6,"Toowoomba",916,null,58,null,null,1796,35,6608,null,null,null,10429,null,344,8152,4,null,79,null,null,331,776,50,1,508962,null,7339,null,null,283,null,null,null,null,null,7079,621,969,8262,null,150,null,null,null,1085,null,null,null,22823,null,null,67,null,null,3926,null,33,622,null,null,1747,null,null,254,1600,318,null,70,null,6073,11780,866,null,271,133,null,null,40636,null,null,null,null,null,null,5539,1684,null,null,23737,null,null,null,null,null,6341874,478333,51,null,null,1867,32,18434,196873,null,null,147,null,3837,null,1495,null,null,null,null,17141,318,null,null,null,null,null,283,null,2691,656,null,300,45554,null,23,350000,1091,null,null,1640,null,null,null,45725,null,6010,10659,null,null,51,null,null,null,null,null,null,null,28062,223,null,null,null,2469,null,31,null,null,null,42131,null,null,null,48,null,null,null,null,null,147,39,null,286,5,null,2123,null,null,6338,"317",null,22,897,52,null,85,3,null,105,null
null,131204,null,null,2,null,null,null,null,null,null,100,null,69,null,null,null,null,null,35,null,null,null,201,243,null,null,null,null,1337,null,null,29,7182,null,21294,null,5978,null,109,null,null,null,null,null,null,null,null,null,null,4,null,null,1,null,null,null,465,1676,null,2206,641,null,null,null,null,null,null,null,null,null,null,null,1204,129,null,null,78,null,2054,1280,null,null,null,85,null,null,null,null,null,null,null,null,null,1,5,null,null,null,null,84366,null,null,465227,null,null,null,250,null,1674,29962,null,null,null,104,null,2754026,101514,null,null,null,null,4,null,null,0,null,null,12,null,"Townsville",49,null,null,7274,null,1337,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,465227,null,887,null,null,348,null,null,21294,null,347,null,7733,null,null,null,null,null,null,null,null,null,null,null,139762,null,116811,100,null,null,null,null,null,null,null,null,2059,null,null,null,null,null,null,null,10,84366,null,null,11694658,544,1534,2,null,161896,null,null,null,null,null,null,null,null,null,null,null,null,8,140,null,86,null,null,null,null,null,null,null,null,76170,null,null,null,null,null,null,31166,128522,null,null,null,7738,null,null,null,null,null,null,348,4,null,null,null,null,null,null,null,null,null,null,null,null,null,54,null,null,null,10685,null,15,null,null,110,null,31,null,2,null,null,null,null,null,null,8,71552,null,null,null,null,1,193061,null,null,null,22,null,null,null,null,null,null,null,null,null,8,2,null,null,null,null,"318",104,null,null,118,null,null,null,770,228,89
null,91966,null,27,2,5163,20463797,null,427,null,6127,80,null,5620,147,14,697903,14300,69,21,1515,null,1428,5562,17409,3653,null,null,null,2015,2153931,1011,30,null,150,15187,7409,null,null,328828,null,null,null,2532297,null,8,4279,null,3021294,null,5,186,null,null,383529,61,138016,30026,16228,null,null,null,2,null,null,22,0,null,155470,79207,null,null,15958,32469,null,null,null,1815,null,3316,null,null,null,120,42,5037,30,1943,727929,null,432124,null,2580758,86,null,4,2580758,0,2,3,69194,179645,null,733475,null,null,null,null,30,11466,null,13867,22830,326,408,378,3549768,132119,null,21983,316992,286,null,415,141,4,null,null,null,16,"Wide Bay",2261,null,821,20972,null,null,33,null,null,25000,null,5692,null,null,1300,18,155,null,null,null,1,4488,15,null,871491,null,null,null,null,364,185,9,15187,137078,11455,null,16049,null,362788,null,747,null,null,0,4328,320,8538,286,125672,null,55269,96,null,22880,5476,2427,22,1109,null,null,null,52,19319,2279,87130,null,87,null,123,75321,null,null,4411235,null,14838,null,null,4204591,null,46186,1615,3336,510,141,14893,13035,271,null,656,316992,5,null,44,null,null,14545224,383,1652898,null,3751,145,null,null,null,null,1329,87,null,null,null,60975,10,null,null,null,null,null,null,null,932,296,635,null,4026,1193,null,48595,188481,null,21,2456,2495,3653,null,5015,null,null,null,138419,37180,2488,null,null,null,383,null,null,null,318,null,10,null,13867,2413,237000,5,9,130178,null,26,null,null,4,4806621,222,null,1297,38,null,639010,8538,7899,null,1329,38,null,1502,2,29,null,null,null,null,"319",2714,null,186,122,null,8,3,48,null,470
null,180,null,null,null,84285,null,null,34528,null,6541,null,null,530,79,null,null,null,null,20,null,190,6308,null,1668,null,null,934110,21,null,null,27276,null,5674,null,2930,null,4592,15,null,45648,null,7543,null,38,5,null,null,null,null,null,0,729,2,null,36,null,2994,1951,2259266,null,null,12,null,1,null,823,null,6368,6546,238,null,null,1082,null,1433,null,null,null,2595,155,13919,null,22,null,150,235,null,null,null,null,null,2268,116,3,null,2268,173,null,1,16818,null,null,null,null,3,null,null,235,null,null,9110,1159,null,230,0,null,null,null,190,null,0,null,5226,null,12,null,null,5,3,"Adelaide - Central and Hills",159,null,13274,null,1150,null,null,null,19904787,31578,null,212,1116219,15,null,17,null,null,null,null,5,54,42,null,null,null,66,0,null,null,null,8,2930,3710460,162,1433,null,82414,9509,null,39378,1082,null,null,406,4850,5,0,null,null,null,88,null,16658,null,150,20,72,null,3685,3709,null,17785,null,null,null,null,103,null,23359,14157,1,null,1,1833,null,null,1426416,null,null,null,null,null,null,221,188,null,null,201,null,12,null,null,null,null,null,0,2061956,3,1174,74,292,181105,null,null,39459,null,null,null,240438,null,null,null,null,16166,null,null,null,null,13429,null,null,null,3756,892,null,null,242668,null,6,2634,null,null,null,60,81,null,null,4776,16658,9,292,null,null,0,null,null,null,null,3,2,null,9110,9,26980,118,null,null,182109,null,3890,null,null,1666854,null,null,null,null,null,null,5,5,729,35569,5,null,null,null,null,0,null,1150,null,"401",null,null,0,null,null,1,4,390,122,null
14,null,109,null,null,826,null,null,556,3715589,null,null,2,null,null,16,614,541,null,17,1638,null,null,null,null,null,49,null,null,null,null,1630,40,null,198,null,null,null,444,null,null,1032005,600227,null,56,4,null,null,null,null,null,90,3722718,2,null,801,null,11,831,1457604,null,null,null,null,null,null,1165,null,209,465,null,14399,1410,null,null,null,2,238,69,203,null,null,null,13786,null,1621,12,3914,626,132054,null,null,1754162,null,null,null,1896732,null,null,115,null,null,null,null,193,null,null,20000,11,null,null,19597,108,634,11,2,null,null,null,null,null,110,null,null,1,2,null,8,null,null,"Adelaide - North",null,null,315,null,null,null,32,12989,null,null,null,null,null,390,9600,null,622,null,695228,null,75,null,45,null,null,1,null,null,119579,null,633,3,1000,null,15000,null,664,60535,271,null,556,null,null,3,null,null,null,7,null,null,null,98,null,169481,null,33,148,null,71285,null,null,null,null,null,null,null,null,null,null,null,null,63,null,null,831,null,null,289060,6,null,null,null,null,null,null,14598,null,null,null,null,null,null,null,null,null,null,null,null,null,43,3,17775,75000,12475,null,687,null,null,5,13016,null,null,null,null,7060,null,142571,null,null,2284,622,null,null,6288,785,null,null,null,3390,11,12269,null,null,null,null,null,null,null,null,170022,null,16038,null,null,null,60,null,75,null,null,5,null,19565,null,781023,null,null,null,null,41,null,null,1,302076,null,356,null,null,null,null,null,42,7129,687,null,null,74,null,null,null,null,null,null,"402",null,null,97,null,null,303,5,59,68,244
null,350,null,null,null,null,null,30,2900,null,null,null,null,null,6,null,2520,null,null,null,5090,325,null,null,null,null,null,null,53,null,null,4213,null,null,null,null,null,null,null,null,null,null,null,null,1,7,11480,null,null,null,null,null,null,4,null,null,null,null,168,2360142,null,null,9,null,null,null,null,null,1005,null,null,null,null,null,null,null,null,null,null,169,393,null,null,null,null,5,382,6171,2520,8114,null,null,null,null,9,null,null,null,1,null,null,66,null,null,null,null,null,null,382,null,null,null,595,null,null,null,null,null,1560000,325,null,null,null,null,null,null,null,2,null,null,"Adelaide - South",null,null,218,null,null,null,null,null,null,null,52000,585,null,null,null,null,null,null,27046,812334,null,96,null,null,null,null,91,4,7573,null,null,5,null,null,null,null,286,124017,1449,null,3530,null,null,null,null,null,null,null,null,null,null,100,null,15821,null,130,null,67,null,null,554,null,null,null,null,null,null,null,null,null,null,null,null,null,168,null,null,49204,4,null,null,null,null,null,623,481,null,null,null,null,9,null,null,null,null,null,null,null,null,null,5,null,null,541,null,3783,null,null,null,null,null,null,23112,null,1899,null,null,null,null,1958,null,null,null,433,189,null,null,null,null,null,475,null,null,null,164,null,null,null,null,15821,null,null,null,null,null,8,null,null,null,5,28,null,null,null,443547,null,null,null,null,null,null,null,null,51978,null,null,null,null,null,null,null,null,null,3153,10,null,null,null,null,null,null,null,null,"403",null,null,null,null,21715,null,null,97,13,null
null,1503873,null,null,null,null,null,30,516402,null,null,null,2,671,null,33,null,null,null,null,913512,10,null,null,null,null,4,null,null,null,null,null,31,null,null,1000,3800,null,161,null,null,null,144000,null,null,null,2578066,null,3428882,null,4,10,13523,2,null,null,null,null,307,11787466,null,null,8,null,null,15,null,null,null,19815,null,174993,22100,null,304,951,null,2852,70,14345,721045,7132,null,null,null,343,null,1383430,null,null,null,1902,195652,null,5,null,195652,26,null,null,null,20816,null,null,null,4,null,null,null,null,null,19565,10324,14369,32,null,null,null,1152000,10,null,14,null,null,16,6,null,7,null,0,"Barossa - Yorke - Mid North",null,null,281124,null,5409,null,32,152893,86823,null,38400,54317,null,null,9600,2,13216,null,null,57028,null,704842,null,null,null,16,314473,0,null,null,14353,3,1000,null,475,951,59154,685490,null,null,1170389,null,null,2,480,653987,null,14,1640114,null,null,94,null,44266,null,3617,330,10723,null,null,null,null,null,7996,null,1598,null,null,null,null,7132,15,null,null,307,null,null,65500,null,null,101984,null,null,null,1500226,2658939,null,null,null,null,8,null,null,null,null,null,null,null,1082,2411,null,5015,null,null,null,1138384,null,null,null,null,null,null,765,null,762581,430,null,null,null,1159948,13216,null,null,null,null,475,null,14263,281,null,null,null,null,null,397213,75,null,null,0,44266,null,null,null,null,null,null,2,null,101984,4,null,null,19565,5,1065023,null,null,null,null,30,577932,null,null,65500,120,null,null,null,null,null,null,null,13523,560452,null,475,null,null,null,null,null,5409,null,"405",516,null,10,null,765,null,4,null,null,3432
null,1551597,102346,null,null,null,null,null,414681,null,null,null,2,null,null,21,209250,null,null,null,1092290,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3238127,null,41968834,null,null,null,null,1,null,null,null,null,6,233,null,null,null,null,null,null,null,null,50479,566,null,null,null,null,null,null,null,6000,null,null,146387,null,null,null,null,31,null,1750537,209250,null,null,null,null,null,2,null,null,null,null,null,null,51580,null,null,171906,null,null,null,null,null,null,null,112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,"South Australia - Outback",null,null,395300,null,null,null,null,null,null,null,null,4442,null,null,null,null,null,null,null,null,null,1020365,null,1,null,null,null,null,null,null,null,1,null,null,160,null,9599,12,107191,null,1457195,null,null,2,null,1042514,4090,null,1568316,null,null,100,null,null,null,112,211,2194,null,null,null,null,null,16897,null,76,null,null,null,null,null,null,null,null,6,null,null,null,null,194095,null,null,null,null,706231,2401435,null,null,null,null,null,null,null,null,null,null,19,null,null,708,null,null,144,null,null,1311670,null,null,null,null,null,null,null,null,null,88,null,null,null,1489498,null,null,null,null,null,null,null,null,null,1,null,null,null,null,272446,null,null,null,null,null,null,null,null,null,19,null,null,null,null,2,null,null,null,11,null,null,null,null,null,null,867305,null,2,null,null,null,null,null,null,4089593,4090,null,null,444365,null,null,null,null,null,null,null,null,null,"406",null,null,null,null,null,null,3,null,null,3880
1060,1011754,null,null,1,null,null,null,1751029,25525,null,null,2,null,null,15,649338,165701,52,17,2013433,7345,null,45,66078,600,1781,538311,14,null,null,1224554,38,155825,null,null,119580,null,7137,10783,12075,22951,448186,null,59,14,5599605,null,4244462,null,4,180,25525,2,null,1808,null,119142,13946,2012800,null,null,17,1141,null,60,8,17614,209886,90545,null,234550,20509,23619,69,null,2,null,69,null,null,null,null,29266,null,10254,null,2998799,768479,1562007,null,137590,4610496,37,4,null,4613225,174,9,30,2170,null,null,null,null,4,null,25992,null,583,null,25594,null,37262,null,2,null,null,null,10088,1637,2,null,null,144,16,26965699,5,null,null,"South Australia - South East",null,86160,587373,null,null,null,48,214041,7520742,null,null,null,592902,4629,10999,20,36174,405,9493250,null,0,449371,75,2,null,109,99197,null,null,null,37119,3,null,null,11849,null,null,193586,313072,94304997,2608071,3919,683230,2,null,null,636,null,1225778,1562,null,85,null,null,22,null,101,null,1364,959,141491,80,14803,27676,null,null,3,null,null,null,null,41,null,null,13769,null,165687,4729159,9,40966,604964,null,null,34,787909,1056864,null,421,1167,1637,17,null,59,null,null,null,6,546420,null,null,null,274291,479240,552979,60,2825324,3,8169,null,1155198,null,null,null,null,616871,15407,2729,1608717,1694877,1774245,36208,null,null,301556,62012,50776,null,null,122960,9,200947,33,600,null,309400,19,null,null,null,null,null,154710,null,2743,6,73,1,null,604574,2,null,null,25599,194,8851236,null,null,null,54591,33,796388,140,1,5884357,2508,null,390,20,517543,597894,636,38,null,2028936,null,38701,null,13,null,null,null,null,null,"407",46,24,180,null,null,391,3,2398,554,null
1579,23649,5599,1,null,2831,42373,null,null,null,1004,null,2,null,null,29,null,595,null,48,null,79404,169655,null,null,null,426,1067136,31,null,14111,73363,43,null,13401,null,null,3126,1558,7,null,null,null,14128,null,null,null,5675,503854,null,5,186,null,null,353485,null,null,null,4081,51406,null,17,7,7,null,null,null,null,null,null,1125,1260,7,6436,null,null,null,null,66,null,null,24914,null,47094,null,4700,582,null,355440,674,512160,null,3025564,null,6,null,3025564,62,null,163,4380,null,null,null,8611,6,null,41681,504,null,null,16270,2178,null,null,null,709,567,null,81165,null,null,null,163679,82,null,774425,null,null,23,"Bunbury",null,7058,136356,null,2607,null,40,1253,33382195,null,null,6675,1210943,1034,9031,7,null,184,4,2796834,43,750,48,null,null,78,null,7,656,null,null,2,null,null,11,57771,null,4408,null,259293,null,5976,null,null,null,129907,null,null,null,7,null,67,null,71785,null,881,null,1105,null,15161,null,null,null,15,null,null,null,null,null,5384,26039,809,null,129,4067,null,8983,1979515,0,497,null,null,null,4,19517,2750,null,null,1755,null,7,null,null,null,20000,14533269,null,null,17900,null,null,null,null,18,3,null,null,null,null,362915,null,3,95494,null,null,null,null,6979,14037,null,null,null,null,22669,3269,null,null,167146,28109,null,1066,null,null,18,10816,35,null,null,1216521,72380,5324,null,null,1761,null,97,null,null,null,null,null,null,16270,null,830045,null,24,567,143807,null,null,null,null,2342430,null,null,102,null,null,14354,null,null,null,null,41,null,6398,21,null,null,null,2606,1176,"501",null,41,186,null,80334,989,2,12183,286,null
null,null,null,null,null,null,null,null,6002,null,null,null,null,null,null,null,23165,null,null,null,662,null,null,null,766,null,null,null,null,null,null,1515,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11288,null,32964,null,null,null,null,null,null,null,null,1604,null,787150,null,null,null,null,null,null,null,null,5766,2094,null,12000,4000,null,null,null,null,null,null,1846,null,null,null,null,null,null,null,10170,24769,null,null,null,null,null,5,null,null,null,null,null,null,5334,null,null,null,null,null,null,null,null,null,null,null,40,66,null,null,null,null,null,null,null,null,null,40,6,null,null,null,null,"Mandurah",53,null,455,null,null,null,null,8000,null,null,null,301,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,144,null,7417,37399,12065,null,6002,null,null,null,null,null,null,null,2309,null,null,94,null,null,null,null,null,60,null,null,2121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,40,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,148,null,null,3562,null,null,6766,null,null,null,null,null,null,null,null,9523,null,null,null,null,8655,40,null,null,1806,215,null,null,null,null,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,null,6766,null,null,null,null,null,null,null,null,null,"502",null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,3007,null,null,504,12113,null,null,null,null,null,null,9925,null,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,87,null,4000,null,24,null,229,null,30283,null,null,null,null,null,null,11548,null,5,null,12113,null,null,null,null,null,null,3175936,1257,null,null,null,null,null,null,null,2198,868,null,null,null,63,null,null,null,null,null,60,null,null,null,null,null,null,29,null,9925,null,null,null,null,79,5,null,null,null,null,null,null,3681,0,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,66153,null,null,null,"Perth - North East",null,null,11,null,null,null,null,null,null,null,null,null,null,null,null,null,119,1,null,null,null,null,null,null,null,28,null,null,null,null,120,null,null,null,null,null,318,149033,4046,42097,504,null,2748,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,80,null,25000,null,null,null,null,null,null,null,null,null,null,null,13,null,null,6338,null,null,null,null,null,null,null,null,null,null,204,null,null,null,24,null,null,null,null,1968396,null,100,null,null,162891,null,null,504,null,6,null,84,null,null,null,null,410,null,null,1762,1762,null,null,null,null,null,null,null,null,null,null,9,3,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,746,null,null,null,null,1,null,null,null,null,null,null,null,null,null,6421,null,null,838,7,2748,null,null,null,null,504,null,null,null,null,null,null,null,null,null,"504",null,null,null,null,null,null,null,null,77,null
null,null,null,null,null,2274,null,null,null,null,null,null,null,null,15,40,600,null,null,61,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21999,null,null,null,1410,null,null,742363,null,null,14,null,null,3843,null,null,38,575644,null,11175,429,null,null,79,null,null,112,2,null,null,19,930,null,253,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,600,null,11175,null,1010680,43,null,null,1010680,51,null,23,null,null,null,null,null,null,42449,null,2,null,null,26389,null,8,null,null,null,null,null,null,null,26,null,null,null,null,null,null,null,null,"Perth - North West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,19035,null,6,35,null,null,18,null,null,null,null,null,null,null,null,null,8,null,null,null,null,null,null,209184,348,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,37,null,null,11175,null,31328,12,null,null,null,null,null,null,null,null,42449,2,null,null,null,132818,819465,null,null,null,null,11,null,null,null,null,null,10,1451,null,null,null,null,null,790,null,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,2266,null,4444,null,null,null,null,10,null,null,null,null,null,null,null,null,null,4,12,null,null,4444,26389,null,null,null,null,null,null,null,null,null,null,11175,null,null,null,41,null,1252245,null,null,null,null,73,null,null,null,null,null,null,null,1186,"505",null,53,38,116,null,null,null,821,null,null
null,null,null,null,null,3002,null,null,271,511976,859,null,null,773,null,null,14724,null,null,null,4,null,84709,null,1287,null,null,null,44,null,null,null,36,3035,null,113667,null,1186,28,1105,1000,45042,null,null,59,null,null,15510,19138,null,null,60,511976,null,8288,null,null,2580,null,null,1686,null,null,null,null,null,null,1158,4145,2531,13912,4466,2759,1849,null,100957,6,null,null,2263,null,null,null,2511,null,145,null,null,17304,null,12377,1568,1500000,null,null,null,null,null,null,null,562,3709,11,null,null,1,null,null,null,null,271,26860,null,35,60,null,null,271,null,null,null,5,null,76482,null,15,52818,null,null,null,"Perth - South East",77,165,444,null,5369,null,null,1707,null,null,null,null,null,28,null,null,35,null,null,null,null,null,60,null,null,null,null,29,null,null,35,null,null,null,18,null,10585,null,6869,9892,271,8227,4190,null,383,null,null,null,3754,554,null,null,null,1781,null,null,null,null,39094,6,2326,0,null,null,null,null,null,3989,null,1421,null,null,null,null,null,null,301,null,null,null,178,null,null,null,null,null,null,554,null,null,null,null,5,null,null,122768,null,null,121701,422,null,1000,null,null,1,430,null,null,null,48611,null,null,null,null,10731,null,216626,1848,2013,null,35,null,null,146,63,null,4089,998156,null,6,223,null,null,null,null,58,null,null,1621796,1781,null,1000,null,null,null,null,null,null,178,null,10,null,25000,7,18053,null,null,null,null,36,null,1,null,null,null,null,null,null,3890,null,null,null,null,430,null,null,null,null,null,null,null,4211,null,"506",null,null,64,null,null,42,null,4830,null,null
